sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
292,117199,356.05,-1.06,1.06,-3.28,356.90,0
293,117523,356.05,0.00,0.00,0.00,356.69,0
294,117847,356.05,0.00,0.00,0.00,356.48,0
295,118171,356.05,0.00,0.00,0.00,356.26,0
296,118495,354.99,-1.06,1.06,-3.28,355.84,0
297,118819,354.99,0.00,0.00,0.00,355.63,0
298,119143,354.99,0.00,0.00,0.00,355.41,0
299,119467,354.99,0.00,0.00,0.00,355.20,0
300,119791,354.99,0.00,0.00,0.00,354.99,0
301,120115,356.05,1.06,1.06,3.28,355.20,0
302,120439,356.05,0.00,0.00,0.00,355.41,0
303,120763,356.05,0.00,0.00,0.00,355.63,0
304,121087,356.05,0.00,0.00,0.00,355.84,0
305,121411,354.99,-1.06,1.06,-3.28,355.84,0
306,121735,354.99,0.00,0.00,0.00,355.63,0
307,122059,354.99,0.00,0.00,0.00,355.41,0
308,122383,354.99,0.00,0.00,0.00,355.20,0
309,122707,354.99,0.00,0.00,0.00,354.99,0
310,123031,354.99,0.00,0.00,0.00,354.99,0
311,123355,354.99,0.00,0.00,0.00,354.99,0
312,123679,354.99,0.00,0.00,0.00,354.99,0
313,124003,354.99,0.00,0.00,0.00,354.99,0
314,124327,354.99,0.00,0.00,0.00,354.99,0
315,124651,354.99,0.00,0.00,0.00,354.99,0
316,124975,354.99,0.00,0.00,0.00,354.99,0
317,125299,354.99,0.00,0.00,0.00,354.99,0
318,125623,354.99,0.00,0.00,0.00,354.99,0
319,125947,354.99,0.00,0.00,0.00,354.99,0
320,126271,354.99,0.00,0.00,0.00,354.99,0
321,126595,354.99,0.00,0.00,0.00,354.99,0
322,126919,354.99,0.00,0.00,0.00,354.99,0
323,127243,354.99,0.00,0.00,0.00,354.99,0
324,127567,354.99,0.00,0.00,0.00,354.99,0
325,127891,354.99,0.00,0.00,0.00,354.99,0
326,128215,354.99,0.00,0.00,0.00,354.99,0
327,128539,354.99,0.00,0.00,0.00,354.99,0
328,128863,354.04,-0.94,0.94,-2.91,354.80,0
329,129187,354.04,0.00,0.00,0.00,354.61,0
330,129511,354.04,0.00,0.00,0.00,354.42,0
331,129835,354.04,0.00,0.00,0.00,354.23,0
332,130159,354.04,0.00,0.00,0.00,354.04,0
333,130483,354.04,0.00,0.00,0.00,354.04,0
334,130807,354.04,0.00,0.00,0.00,354.04,0
335,131131,354.04,0.00,0.00,0.00,354.04,0
336,131455,354.04,0.00,0.00,0.00,354.04,0
337,131779,354.04,0.00,0.00,0.00,354.04,0
338,132103,353.08,-0.96,0.96,-2.96,353.85,0
339,132427,353.08,0.00,0.00,0.00,353.66,0
340,132750,353.08,0.00,0.00,0.00,353.47,0
341,133073,353.08,0.00,0.00,0.00,353.28,0
342,133396,353.08,0.00,0.00,0.00,353.08,0
343,133719,353.08,0.00,0.00,0.00,353.08,0
344,134042,353.08,0.00,0.00,0.00,353.08,0
345,134365,353.08,0.00,0.00,0.00,353.08,0
346,134688,353.08,0.00,0.00,0.00,353.08,0
347,135011,353.08,0.00,0.00,0.00,353.08,0
348,135334,353.08,0.00,0.00,0.00,353.08,0
349,135657,353.08,0.00,0.00,0.00,353.08,0
350,135980,353.08,0.00,0.00,0.00,353.08,0
351,136303,353.08,0.00,0.00,0.00,353.08,0
352,136626,353.08,0.00,0.00,0.00,353.08,0
353,136949,353.08,0.00,0.00,0.00,353.08,0
354,137272,353.08,0.00,0.00,0.00,353.08,0
355,137595,353.08,0.00,0.00,0.00,353.08,0
356,137918,353.08,0.00,0.00,0.00,353.08,0
357,138241,353.08,0.00,0.00,0.00,353.08,0
358,138564,353.08,0.00,0.00,0.00,353.08,0
359,138887,353.08,0.00,0.00,0.00,353.08,0
360,139210,353.08,0.00,0.00,0.00,353.08,0
361,139533,353.08,0.00,0.00,0.00,353.08,0
362,139856,353.08,0.00,0.00,0.00,353.08,0
363,140179,353.08,0.00,0.00,0.00,353.08,0
364,140502,353.08,0.00,0.00,0.00,353.08,0
365,140825,353.08,0.00,0.00,0.00,353.08,0
366,141148,352.02,-1.06,1.06,-3.29,352.87,0
