sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
1685.0,550271.0,34.27,0.0,0.0,0.0,33.84,1
1743.0,567959.0,27.18,0.0,0.0,0.0,27.4,1
2304.0,740397.0,67.5,-135.19,135.19,-429.19,175.66,1
745.0,260733.0,194.69,0.0,0.0,0.0,193.67,0
3264.0,1039342.0,155.33,-0.94,0.94,-3.02,156.93,0
292.0,117199.0,356.05,-1.06,1.06,-3.28,356.9,0
1725.0,562471.0,28.25,0.0,0.0,0.0,28.25,1
2735.0,874545.0,191.62,0.0,0.0,0.0,190.8,0
1980.0,640093.0,36.27,0.94,0.94,3.09,35.52,1
251.0,103915.0,366.19,-2.01,2.01,-6.17,368.36,0
1710.0,557896.0,31.2,0.0,0.0,0.0,32.02,1
582.0,209551.0,183.61,2.13,2.13,6.79,181.91,0
2921.0,932707.0,56.42,0.0,0.0,0.0,82.27,0
969.0,330357.0,112.98,0.0,0.0,0.0,112.57,0
3172.0,1010437.0,227.92,-1.06,1.06,-3.36,229.36,0
3254.0,1036220.0,162.39,-0.94,0.94,-3.01,164.0,0
1973.0,637958.0,35.33,0.0,0.0,0.0,35.33,1
2443.0,783568.0,169.46,-0.94,0.94,-3.01,171.23,0
3351.0,1066326.0,90.72,-1.05,1.05,-3.4,92.34,0
2329.0,748052.0,42.27,0.0,0.0,0.0,43.1,0
2616.0,837372.0,123.03,1.06,1.06,3.43,121.59,0
2662.0,851681.0,156.27,0.94,0.94,3.02,154.29,0
2551.0,817224.0,125.04,0.0,0.0,0.0,125.47,0
1292.0,430042.0,51.47,0.0,0.0,0.0,50.83,0
2793.0,892789.0,191.62,-1.06,1.06,-3.39,193.06,0
3240.0,1031839.0,173.47,-1.06,1.06,-3.4,175.1,0
2611.0,835822.0,119.02,1.06,1.06,3.43,117.58,0
2680.0,857304.0,169.46,1.06,1.06,3.4,167.83,0
978.0,333144.0,115.01,0.0,0.0,0.0,115.01,0
3273.0,1042150.0,148.24,0.0,0.0,0.0,149.47,0
906.0,310889.0,105.92,-0.94,0.94,-3.05,106.89,0
1757.0,572215.0,26.14,-1.05,1.05,-3.44,26.97,1
3332.0,1060459.0,101.79,0.0,0.0,0.0,102.85,0
226.0,95803.0,376.2,0.0,0.0,0.0,376.2,0
229.0,96778.0,375.26,-0.94,0.94,-2.9,376.01,0
2012.0,649854.0,91.77,35.35,35.35,115.51,51.4,1
192.0,84744.0,389.29,0.0,0.0,0.0,389.93,0
1264.0,421474.0,51.47,0.0,0.0,0.0,52.03,0
2643.0,845758.0,143.17,0.94,0.94,3.03,141.4,0
1252.0,417802.0,52.41,0.0,0.0,0.0,52.41,0
987.0,335934.0,117.01,0.0,0.0,0.0,117.01,0
